episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
164,76568,198.55,600,594,58.0,2,0,0,1.182,0.0,-41.604,6.5645
165,76824,256.78,600,755,73.7,3,0,0,1.232,0.0,-41.0163,7.107
166,77224,111.99,600,558,54.5,2,0,0,0.623,0.0,-40.9686,8.0465
167,77368,269.79,600,862,84.2,4,0,0,1.741,0.0,-41.3394,6.0304
168,77976,262.32,600,778,76.0,3,0,0,1.687,0.0,-41.2086,7.3494
169,78896,188.82,600,698,68.2,2,0,0,0.742,0.0,-40.1924,5.4842
170,79048,148.79,600,823,80.4,3,0,0,1.527,0.0,-40.1924,5.4842
171,79808,193.98,114,764,74.6,3,0,1,0.156,0.0,-39.9682,6.1893
172,80152,304.89,348,821,80.2,3,0,1,0.203,0.0,-40.144,7.1154
173,81024,201.7,600,777,75.9,3,0,0,0.477,0.0,-39.5892,7.7389
174,81368,280.0,600,871,85.1,4,0,0,2.065,0.0,-39.6942,6.9811
175,81624,354.65,600,900,87.9,4,0,0,1.204,0.0,-39.4354,7.0054
176,82024,279.96,600,804,78.5,3,0,0,1.891,0.0,-39.4989,7.3114
177,82776,347.51,600,787,76.9,3,0,0,0.89,0.0,-38.662,6.7638
178,83848,352.04,600,888,86.7,4,0,0,1.202,0.0,-38.7395,7.8761
179,84048,355.0,530,926,90.4,4,0,1,0.201,0.0,-37.8314,6.9451
180,84192,392.67,271,909,88.8,5,0,1,0.201,0.0,-37.8314,6.9451
181,84952,168.14,600,798,77.9,3,0,0,0.45,0.0,-38.0846,7.743
182,85824,194.38,600,819,80.0,3,0,0,1.367,0.0,-37.7371,7.3041
183,86168,170.04,600,781,76.3,3,0,0,1.363,0.0,-37.3883,7.2273
184,86424,281.06,600,833,81.3,4,0,0,1.027,0.0,-37.0969,6.7434
185,87576,278.21,600,919,89.7,4,0,0,1.276,0.0,-36.4229,7.3729
186,88648,238.2,600,870,85.0,4,0,0,1.842,0.0,-36.3648,7.37
187,88848,184.18,600,828,80.9,3,0,0,1.899,0.0,-36.1608,6.7538
188,88992,489.84,600,965,94.2,5,0,0,1.921,0.0,-36.1608,6.7538
189,89752,196.08,600,797,77.8,3,0,0,1.287,0.0,-36.397,7.794
190,90624,250.99,600,845,82.5,4,0,0,1.871,0.0,-35.8159,8.5834
191,90968,306.75,600,849,82.9,4,0,0,1.374,0.0,-35.701,7.2054
192,91224,240.66,600,850,83.0,4,0,0,1.61,0.0,-35.4125,6.7618
193,92376,420.92,600,960,93.8,5,0,0,1.563,0.0,-35.8731,9.0267
194,93448,411.86,600,944,92.2,5,0,0,1.623,0.0,-35.0643,8.2824
195,93648,432.7,600,940,91.8,5,0,0,1.301,0.0,-35.0643,8.2824
196,93792,211.76,600,768,75.0,3,0,0,1.675,0.0,-35.342,8.0267
197,94552,348.2,600,937,91.5,4,0,0,1.394,0.0,-35.5746,8.5543
198,95424,256.69,600,896,87.5,3,0,0,0.535,0.0,-35.441,8.8337
199,95768,341.6,600,934,91.2,4,0,0,1.431,0.0,-35.3627,8.7682
200,96024,312.27,600,939,91.7,4,0,0,1.575,0.0,-35.6307,7.1515
201,97176,325.47,600,950,92.8,4,0,0,0.686,0.0,-35.5582,7.5318
202,97912,312.21,558,958,93.6,4,0,1,0.156,0.0,-36.296,8.9111
203,98448,302.97,600,886,86.5,3,0,0,0.368,0.0,-36.4455,8.977
204,98592,326.41,600,949,92.7,4,0,0,1.56,0.0,-36.11,7.4137
205,99352,193.72,600,717,70.0,2,0,0,0.653,0.0,-36.154,8.737
206,100224,147.78,600,698,68.2,2,0,0,1.899,0.0,-36.0875,8.5393
207,100472,464.11,412,1024,100.0,5,0,1,0.181,0.0,-36.5268,8.1068
208,100496,222.76,591,908,88.7,3,0,1,0.179,0.0,-36.5268,8.1068
209,100824,192.18,600,729,71.2,2,0,0,0.865,0.0,-36.6521,8.6562
210,101224,329.19,347,990,96.7,4,0,1,0.183,0.0,-36.7621,9.8425
211,101528,351.04,129,999,97.6,4,0,1,0.194,0.0,-36.7428,9.1356
212,102712,216.51,600,737,72.0,2,0,0,1.277,0.0,-36.7554,8.9681
213,103136,351.0,239,1012,98.8,5,0,1,0.159,0.0,-36.6835,7.5113
214,103392,198.23,600,761,74.3,3,0,0,0.791,0.0,-36.4196,9.0498
215,104152,290.65,600,836,81.6,3,0,0,0.479,0.0,-36.0511,9.156
216,104480,108.62,221,635,62.0,1,0,1,0.169,0.0,-36.8268,9.1477
217,104544,-17.05,8,459,44.8,1,0,1,0.164,0.0,0.0,0.0
218,104616,134.45,58,586,57.2,2,0,1,0.22,0.0,0.0,0.0
219,104768,148.81,405,728,71.1,2,0,1,0.163,0.0,-36.5429,8.6847
220,105024,222.97,600,920,89.8,3,0,0,1.498,0.0,-36.8692,8.979
221,105272,243.19,600,831,81.2,3,0,0,0.71,0.0,-36.7329,8.7574
222,105464,204.43,115,669,65.3,2,0,1,0.088,0.0,-36.7329,8.7574
223,105624,179.46,600,693,67.7,2,0,0,0.823,0.0,-36.3849,9.0898
224,107232,236.06,480,982,95.9,4,0,1,0.201,0.0,-36.6335,9.0839
225,107936,226.9,600,840,82.0,3,0,0,0.514,0.0,-36.6594,8.8927
226,108120,-13.15,23,197,19.2,1,0,1,0.104,0.0,-36.366,11.4654
227,108224,172.03,124,748,73.0,2,0,1,0.197,0.0,-36.366,11.4654
228,109416,486.99,600,1021,99.7,5,0,0,0.736,0.0,-36.0175,9.9045
229,109568,217.38,600,821,80.2,3,0,0,1.108,0.0,0.0,0.0
230,109656,-8.18,11,458,44.7,1,0,1,0.165,0.0,-35.8295,9.5571
231,109824,308.26,600,1003,97.9,4,0,0,1.693,0.0,-35.8295,9.5571
232,110072,198.08,600,827,80.8,2,0,0,1.469,0.0,0.0,0.0
233,110264,167.67,600,797,77.8,2,0,0,2.566,0.0,-36.1039,8.5644
234,110408,8.61,18,239,23.3,1,0,1,0.181,0.0,-35.797,9.4918
235,110424,305.19,600,843,82.3,4,0,0,1.439,0.0,-35.797,9.4918
236,112920,221.66,600,917,89.6,4,0,0,1.634,0.0,-35.4145,8.5537
237,113000,-11.28,10,444,43.4,1,0,1,0.166,0.0,0.0,0.0
238,113024,183.29,600,792,77.3,2,0,0,2.408,0.0,0.0,0.0
239,113640,404.29,477,1002,97.9,5,0,1,0.202,0.0,-34.8334,10.2103
240,114216,280.54,600,985,96.2,5,0,0,2.824,0.0,-35.0937,11.1135
241,114456,262.69,600,896,87.5,4,0,0,1.606,0.0,-35.0363,10.2904
242,114872,200.84,600,894,87.3,3,0,0,2.164,0.0,-34.9816,10.9591
243,115208,323.01,600,827,80.8,3,0,0,1.535,0.0,-34.7738,11.3546
244,115224,183.66,600,831,81.2,3,0,0,1.52,0.0,-34.7738,11.3546
245,117800,233.5,600,857,83.7,4,0,0,1.634,0.0,-34.2574,10.9833
246,117824,396.28,600,952,93.0,5,0,0,1.245,0.0,-34.2574,10.9833
247,118440,282.63,600,829,81.0,3,0,0,1.079,0.0,-34.5318,11.555
248,119016,221.33,600,766,74.8,3,0,0,1.902,0.0,-34.3195,12.8666
249,119152,0.28,17,200,19.5,1,0,1,0.187,0.0,-34.0896,8.1383
250,119256,351.29,600,909,88.8,4,0,0,1.556,0.0,-34.0896,8.1383
251,119672,167.32,600,785,76.7,3,0,0,1.773,0.0,-34.3043,11.6684
252,120008,206.2,600,798,77.9,3,0,0,1.013,0.0,0.0,0.0
253,120024,440.75,600,973,95.0,5,0,0,1.244,0.0,0.0,0.0
254,122536,208.62,410,909,88.8,3,0,1,0.204,0.0,-33.7701,11.9007
255,122600,192.6,600,863,84.3,3,0,0,3.006,0.0,-33.7701,11.9007
256,122624,289.44,600,843,82.3,3,0,0,1.389,0.0,-33.7701,11.9007
257,122624,211.95,523,920,89.8,3,0,1,0.138,0.0,-33.7701,11.9007
258,123152,12.92,66,224,21.9,1,0,1,0.201,0.0,-33.7717,11.8628
259,123952,245.5,600,934,91.2,4,0,0,0.456,0.0,-32.9748,9.4004
260,124192,328.0,521,956,93.4,5,0,1,0.139,0.0,-33.4189,10.862
261,124472,219.46,600,912,89.1,4,0,0,1.685,0.0,-33.1847,10.537
262,124808,221.24,600,805,78.6,3,0,0,0.852,0.0,-33.6087,10.6536
263,124952,570.56,225,1024,100.0,6,1,0,0.584,0.0,-33.126,11.1949
264,124984,5.42,22,211,20.6,1,0,1,0.078,0.0,-33.126,11.1949
265,125592,537.39,205,1023,99.9,6,1,0,0.688,0.0,-33.4305,11.8555
266,127336,283.45,600,856,83.6,4,0,0,1.769,0.0,-32.6967,13.0506
267,127400,236.09,600,829,81.0,3,0,0,1.175,0.0,-32.6967,13.0506
268,127424,247.74,600,848,82.8,3,0,0,1.284,0.0,-32.6967,13.0506
269,128776,107.67,573,822,80.3,3,0,1,0.128,0.0,-32.7238,11.9079
270,129160,201.66,446,884,86.3,4,0,1,0.185,0.0,-32.5675,10.4291
271,129272,255.79,600,968,94.5,4,0,0,1.044,0.0,-32.5675,10.4291
272,129752,241.23,600,854,83.4,4,0,0,2.77,0.0,-32.7141,11.0571
273,129784,256.44,600,821,80.2,3,0,0,1.247,0.0,0.0,0.0
274,131096,539.85,168,1024,100.0,6,1,0,1.803,0.0,-32.2204,11.5292
275,131504,214.63,279,850,83.0,3,0,1,0.19,0.0,-32.0612,9.9761
276,132136,221.13,600,927,90.5,4,0,0,0.502,0.0,-32.5587,11.6946
277,132200,292.45,600,877,85.6,4,0,0,1.011,0.0,0.0,0.0
278,132224,246.06,600,876,85.5,4,0,0,1.557,0.0,0.0,0.0
279,132296,18.25,20,234,22.9,1,0,1,0.128,0.0,0.0,0.0
280,133576,223.36,600,847,82.7,4,0,0,0.984,0.0,-32.3757,11.1968
281,133960,221.23,600,933,91.1,4,0,0,1.132,0.0,-32.3194,12.9582
282,134584,232.07,600,932,91.0,4,0,0,1.516,0.0,-32.0361,9.9605
283,135896,196.01,600,809,79.0,3,0,0,1.516,0.0,-32.2746,9.4079
284,136240,557.71,592,1024,100.0,6,1,0,0.702,0.0,-32.4878,11.6627
285,137000,99.6,600,710,69.3,2,0,0,1.126,0.0,-32.8439,11.6563
286,137024,326.66,600,876,85.5,4,0,0,1.96,0.0,-32.8439,11.6563
287,137096,346.26,600,985,96.2,5,0,0,1.603,0.0,-32.8439,11.6563
288,137184,-6.8,23,196,19.1,1,0,1,0.048,0.0,-32.8439,11.6563
289,138376,135.89,600,753,73.5,2,0,0,0.708,0.0,-32.6848,9.9978
290,138760,219.97,600,829,81.0,3,0,0,1.176,0.0,-32.9835,11.6248
291,139384,168.01,600,729,71.2,2,0,0,0.645,0.0,-33.1528,11.0316
292,140696,354.8,600,991,96.8,5,0,0,1.259,0.0,-32.7883,11.7303
293,141040,299.74,600,816,79.7,4,0,0,0.358,0.0,-32.3226,10.5094
294,141824,197.84,600,757,73.9,3,0,0,2.059,0.0,-32.4043,11.23
295,141896,157.81,600,733,71.6,2,0,0,1.756,0.0,-32.4534,14.3883
296,141984,281.87,600,934,91.2,4,0,0,0.94,0.0,-32.4534,14.3883
297,143176,344.46,600,890,86.9,4,0,0,1.158,0.0,-32.6267,10.7057
298,143560,243.36,600,784,76.6,4,0,0,1.401,0.0,-32.3375,11.272
299,144184,124.17,600,703,68.7,2,0,0,1.177,0.0,-31.9012,10.5188
300,144424,508.22,423,1024,100.0,6,1,0,1.696,0.0,-32.2459,10.6045
301,145496,266.69,600,844,82.4,4,0,0,1.711,0.0,-31.9382,10.675
302,146624,215.94,600,858,83.8,3,0,0,0.968,0.0,-32.1291,11.7966
303,146696,169.02,600,780,76.2,3,0,0,1.323,0.0,-32.2711,12.4368
304,146784,113.31,600,724,70.7,2,0,0,1.699,0.0,-32.2711,12.4368
305,146792,-5.92,12,391,38.2,1,0,1,0.162,0.0,0.0,0.0
306,147976,306.77,600,822,80.3,4,0,0,1.399,0.0,-31.9544,13.2454
307,148360,142.55,600,771,75.3,2,0,0,0.971,0.0,-31.5018,11.9525
308,148984,213.04,600,847,82.7,4,0,0,1.201,0.0,-31.7567,11.662
309,149224,232.76,600,769,75.1,4,0,0,1.192,0.0,-31.604,12.1856
310,150296,233.25,600,939,91.7,4,0,0,1.133,0.0,-31.378,11.7738
311,151424,219.38,600,751,73.3,3,0,0,1.898,0.0,-31.0507,13.3675
312,151584,210.06,600,847,82.7,4,0,0,1.339,0.0,-31.6365,13.1938
313,151592,370.59,600,898,87.7,4,0,0,0.906,0.0,0.0,0.0
314,151728,533.71,343,1024,100.0,6,1,0,0.812,0.0,0.0,0.0
315,152464,126.45,405,776,75.8,3,0,1,0.169,0.0,-31.3854,12.9654
316,152776,212.14,600,748,73.0,3,0,0,1.722,0.0,-31.0845,12.5371
317,153160,200.39,600,799,78.0,3,0,0,1.863,0.0,-31.3981,12.4094
318,153216,287.75,186,935,91.3,4,0,1,0.192,0.0,-31.3981,12.4094
319,155096,346.17,600,915,89.4,4,0,0,1.41,0.0,-30.8089,10.9798
320,156224,178.82,600,770,75.2,3,0,0,0.983,0.0,-31.0118,13.8654
321,156384,169.52,600,745,72.8,3,0,0,0.62,0.0,0.0,0.0
322,156392,247.43,600,871,85.1,4,0,0,0.818,0.0,0.0,0.0
323,157264,199.41,600,795,77.6,3,0,0,1.664,0.0,-30.0492,13.6634
324,157576,118.31,600,710,69.3,2,0,0,1.572,0.0,-30.2036,12.7639
325,157624,562.13,175,1024,100.0,6,1,0,1.435,0.0,0.0,0.0
326,157960,122.64,600,751,73.3,2,0,0,1.589,0.0,-30.3734,12.0946
327,158016,160.88,600,729,71.2,3,0,0,1.949,0.0,-30.3734,12.0946
328,159056,503.53,130,1024,100.0,6,1,0,1.726,0.0,-30.345,12.1272
329,159656,499.73,212,1024,100.0,6,1,0,0.829,0.0,-29.9342,11.9343
330,159896,227.79,600,862,84.2,4,0,0,0.752,0.0,-29.6865,12.8062
331,160184,522.99,365,1024,100.0,6,1,0,1.399,0.0,-30.1603,12.4418
332,161184,262.18,600,848,82.8,4,0,0,0.818,0.0,-30.198,10.8795
333,161192,270.29,600,999,97.6,5,0,0,0.729,0.0,0.0,0.0
