time/episodes,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef_loss
152,173,390,67584,245.99021035999994,494.59,-97.0440456867218,0.15799228521063924,16.324286743998528,7168,0.0003,-2.09340525791049
156,178,389,69544,253.25917825000005,505.86,-96.50088238716125,0.1504505048505962,13.266905322670937,7424,0.0003,-2.059105411171913
160,184,387,71728,249.32009611000004,502.08,-96.9262261390686,0.14283417724072933,17.144389152526855,7712,0.0003,-1.562635065522045
164,190,386,73624,254.16914688,512.68,-96.77467727661133,0.13770814053714275,17.16084098815918,7936,0.0003,-1.674074687063694
168,197,386,76528,254.66032659999996,512.68,-96.61735510826111,0.12993830954656005,18.76508992910385,8288,0.0003,-1.7984943687915802
172,203,384,78424,258.68276992,518.38,-96.12998151779175,0.12405671598389745,15.253618836402893,8544,0.0003,-1.6269053928554058
176,207,384,79832,256.34142476,512.59,-95.97583937644958,0.12058768351562321,16.946237206459045,8704,0.0003,-1.3878560550510883
180,210,384,81152,259.10358496000003,508.21,-96.177161693573,0.11756554245948792,17.634594559669495,8864,0.0003,-1.2934758184710518
184,217,383,83224,260.8726401,513.91,-95.2184739112854,0.1125806923955679,12.466029360890388,9152,0.0003,-0.8063798076473176
188,223,383,85808,260.59120206,513.95,-94.9140739440918,0.10907887178473175,14.961309045553207,9472,0.0003,-0.8061402793973684
192,227,384,87416,258.10241843,508.18,-94.54233431816101,0.1070295071695,14.177747756242752,9664,0.0003,-0.7739105937071145
196,232,384,89576,258.53320693,513.5,-93.89201641082764,0.10402892204001546,15.730193495750427,9920,0.0003,-1.0546608995646238
200,239,383,91768,261.34283287,518.78,-93.44812345504761,0.09992673131637275,13.807956203818321,10208,0.0003,-0.8567223064601421
204,246,383,94376,254.74005203999997,518.78,-91.66765069961548,0.09658733336254954,13.215690925717354,10528,0.0003,-0.1750516325701028
