time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/learning_rate
288,232,173.07877109,528.38,106776,369,12096,23.20751056075096,-3.753362439572811,0.3100842582061887,-110.35154008865356,0.0001
292,236,166.74287892,522.83,108192,370,12256,22.872396051883698,-3.7386109828948975,0.30553888715803623,-110.04802203178406,0.0001
300,240,162.92779284,522.83,111032,369,12608,23.59740909934044,-3.7519416436553,0.29574448615312576,-109.17845892906189,0.0001
306,244,159.67549262,528.51,112992,368,12864,20.616276741027832,-3.787554182112217,0.28881491534411907,-108.43553853034973,0.0001
315,248,159.82610510000004,523.35,115312,365,13152,20.047287553548813,-3.88052074611187,0.28110176883637905,-108.0570170879364,0.0001
320,252,158.83179227000002,514.45,116376,363,13280,21.04257580637932,-3.8780941516160965,0.27772252820432186,-107.57677054405212,0.0001
330,256,155.72239272,514.45,119600,361,13696,21.279458701610565,-3.9303766265511513,0.2669941894710064,-106.93241858482361,0.0001
336,260,153.76954776,514.45,121176,360,13888,20.22054749727249,-4.011727578938007,0.2621038584038615,-106.41835117340088,0.0001
341,264,157.42466770000001,515.61,122896,359,14112,21.877956211566925,-4.082689754664898,0.2565127704292536,-105.43902111053467,0.0001
348,268,163.10705003,528.41,125432,360,14400,21.263598293066025,-4.0856800228357315,0.24945061700418591,-105.26171636581421,0.0001
353,272,153.59745779,528.41,127696,360,14688,20.128702372312546,-4.134285613894463,0.2426554849371314,-104.4681351184845,0.0001
360,276,154.96816148999997,528.41,130232,361,15008,21.30826860666275,-4.181444875895977,0.23524107737466693,-103.95624709129333,0.0001
366,280,158.52127182,539.2,132496,361,15296,20.055315881967545,-4.310415968298912,0.2287405333481729,-103.4312641620636,0.0001
372,284,161.10893239000004,543.75,134512,361,15552,16.50259430706501,-4.2497818171978,0.22314847260713577,-102.41237545013428,0.0001
