rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss
513.89,415,113456,206.75799526000003,272,248,12928,0.2823201958090067,0.0001,11.895901158452034,-47.039886832237244,-4.7059963047504425
519.42,415,114992,210.93574311,276,252,13120,0.2771151131018996,0.0001,10.396374955773354,-46.83817267417908,-4.637564346194267
515.9,415,117200,215.99546578,281,256,13376,0.2703629368916154,0.0001,10.271870121359825,-45.93512523174286,-4.790579482913017
515.4,415,118984,215.96656246999999,286,260,13600,0.2646054467186332,0.0001,11.65173526108265,-45.27920639514923,-4.73631751537323
526.9,415,121256,226.37907793,292,264,13888,0.25745208747684956,0.0001,9.493922859430313,-45.05693805217743,-4.784323513507843
521.13,414,123752,229.87108132999998,298,268,14208,0.2497351081110537,0.0001,9.91479629278183,-43.99716818332672,-4.765555307269096
521.06,412,125072,236.04790853000006,302,272,14368,0.24599250871688128,0.0001,10.470968499779701,-44.40781116485596,-4.756210312247276
515.29,411,126800,234.34416169,308,276,14592,0.2409467464312911,0.0001,10.390866830945015,-44.206159234046936,-4.625754460692406
514.68,411,129560,235.30690165999997,315,280,14944,0.2331826677545905,0.0001,11.237595915794373,-43.64869463443756,-4.681723594665527
514.68,411,131600,234.12853793,320,284,15200,0.2276731231249869,0.0001,10.997249618172646,-43.39483201503754,-4.718241915106773
508.88,411,133352,232.41499669000004,324,288,15392,0.22360540088266134,0.0001,11.284860968589783,-43.02958655357361,-4.779343470931053
508.88,411,135840,234.00252863000003,330,292,15712,0.2170145227573812,0.0001,10.838339880108833,-42.667935371398926,-4.7538802325725555
513.61,411,137856,234.45526263000002,335,296,15968,0.21189387096092105,0.0001,11.627680629491806,-42.62922251224518,-4.764569699764252
512.75,411,139640,235.44704181000006,339,300,16192,0.20755416620522738,0.0001,9.781407207250595,-42.49375808238983,-4.643561214208603
512.75,410,142360,236.02204833,346,304,16544,0.20090069295838475,0.0001,9.459451630711555,-42.22260046005249,-4.7871053814888
515.71,410,144440,234.92687474,351,308,16800,0.19603784196078777,0.0001,10.614192456007004,-41.84578227996826,-4.8077055513858795
515.74,410,146000,236.64262615999996,355,312,16992,0.1924185659736395,0.0001,9.952174991369247,-41.62675428390503,-4.949677437543869
509.97,410,147936,229.56636978999998,360,316,17216,0.18823323724791408,0.0001,10.195149898529053,-41.45096707344055,-4.984204575419426
515.68,409,150240,231.83337296999997,366,320,17504,0.18303456855937839,0.0001,9.744050651788712,-40.45281684398651,-4.939077779650688
515.68,408,152736,232.41721284999997,373,324,17824,0.17755093285813928,0.0001,11.000022679567337,-40.04726994037628,-5.0455072820186615
509.97,407,154984,228.45349525999995,379,328,18112,0.17276991810649633,0.0001,8.802200466394424,-39.821123003959656,-4.730352595448494
515.68,407,157056,232.63271070999997,385,332,18368,0.16874392051249743,0.0001,9.382115960121155,-39.422579288482666,-4.79613496363163
525.53,407,159784,232.93371762000004,391,336,18720,0.1633065901696682,0.0001,9.022985994815826,-38.999342918395996,-4.9281735718250275
523.12,407,161560,233.51332843,396,340,18944,0.15994645934551954,0.0001,10.156439617276192,-38.791181802749634,-4.670554116368294
521.71,408,164072,229.83754366000005,402,344,19232,0.15578390657901764,0.0001,9.462196364998817,-38.31490385532379,-4.5510926097631454
522.91,407,164672,230.85773232,403,348,19328,0.15444370592013001,0.0001,9.777641594409943,-38.58819317817688,-4.544135168194771
528.27,407,168104,231.31367513000004,412,352,19744,0.14878002228215337,0.0001,8.826555147767067,-37.734410762786865,-4.352511174976826
531.79,407,169472,225.35492343,416,356,19904,0.14664509007707238,0.0001,8.933791846036911,-38.065105676651,-4.380684018135071
532.39,407,172760,225.07740820000004,424,360,20320,0.14127463707700372,0.0001,9.350277796387672,-37.31409442424774,-4.2992875054478645
521.99,406,173744,217.80523048000003,427,364,20448,0.13965378515422344,0.0001,9.10801014304161,-37.32590734958649,-4.172935754060745
527.76,406,175960,212.39856829999997,433,368,20736,0.1361556863412261,0.0001,9.68794897198677,-37.61205434799194,-3.9775295332074165
527.8,406,178344,206.78595597,438,372,21024,0.13270705845206976,0.0001,8.64209146797657,-37.5251339673996,-4.004835955798626
533.57,406,179616,202.74251513,442,376,21184,0.1307860822416842,0.0001,8.98048411309719,-37.4134738445282,-3.810337647795677
528.41,405,183000,199.448837,451,380,21600,0.1260268334299326,0.0001,9.71639196574688,-37.14604902267456,-3.711975209414959
528.41,404,183872,196.90023667999998,454,384,21728,0.12463437137193978,0.0001,9.531523361802101,-36.529577016830444,-4.038156144320965
532.8,403,186816,196.52592700999998,462,388,22080,0.12082236655987799,0.0001,10.10115897655487,-36.73932874202728,-3.8641706705093384
532.8,403,188672,197.76823665,467,392,22304,0.11848306655883789,0.0001,10.866725869476795,-36.474345088005066,-3.637956388294697
538.23,402,191616,195.71159462000003,475,396,22688,0.11447067861445248,0.0001,11.180815681815147,-35.967193603515625,-3.62717916816473
544.02,402,193472,195.20354450000002,480,400,22912,0.11216593068093061,0.0001,9.542334124445915,-35.608301281929016,-3.7150149196386337
544.02,402,196416,191.4082192,487,404,23296,0.10842561605386436,0.0001,9.558348968625069,-35.788023233413696,-3.4761624857783318
544.02,402,198272,191.93960061000004,492,408,23520,0.10631676949560642,0.0001,10.438230350613594,-35.38119065761566,-3.282545104622841
