rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss
262.70664336,116456,405,489.42,287,252,0.058963630930520594,-38.35492205619812,13280,0.08142354572191834,0.0003,10.006040677428246
264.90289599,118440,405,498.61,292,256,0.05872221605386585,-38.24155235290527,13536,0.1820757775567472,0.0003,9.040401875972748
262.73941107999997,120000,404,492.98,296,260,0.0587938625831157,-38.25774848461151,13728,0.09970736457034945,0.0003,9.075639992952347
261.8611938,122200,402,483.61,303,264,0.057842385256662965,-37.86484944820404,14016,0.31592957000248134,0.0003,10.466644704341888
258.93214495999996,123888,402,475.94,307,268,0.057038393802940845,-37.144219398498535,14208,-0.07677829801104963,0.0003,11.308890596032143
261.04931647999996,124800,400,472.26,311,272,0.05605973827186972,-36.87315547466278,14336,-0.43226328445598483,0.0003,10.971510335803032
264.67852779,126528,399,462.55,316,276,0.05418157367967069,-36.86740970611572,14560,-0.015383968595415354,0.0003,10.708389163017273
260.8469332,128688,399,455.56,322,280,0.05371676536742598,-36.465585231781006,14816,0.013684773817658424,0.0003,13.045141190290451
260.54512871,130360,399,452.67,326,284,0.053921581828035414,-35.660845160484314,15040,0.08774914918467402,0.0003,10.30228005349636
256.32338976999995,133064,399,455.98,333,288,0.05406086740549654,-34.22593170404434,15360,-0.22410193411633372,0.0003,10.617763802409172
254.56521706,134640,398,450.17,337,292,0.054366113734431565,-34.48772609233856,15552,0.0868624362628907,0.0003,10.191642135381699
257.16217803,136128,398,452.65,341,296,0.05360471922904253,-34.68701094388962,15744,-0.10492460988461971,0.0003,11.773991584777832
252.79853652000003,138496,398,451.94,347,300,0.05277800268959254,-33.599061489105225,16032,-0.3970261928625405,0.0003,12.122526720166206
254.05029911000003,139624,397,450.57,350,304,0.052196635864675045,-32.7333824634552,16192,0.02889599371701479,0.0003,12.056565314531326
256.33690937,141520,398,453.15,355,308,0.052070219768211246,-33.14749610424042,16416,-0.13460832345299423,0.0003,11.232511788606644
