episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
288,49839,33.2011,44,1,45.31
289,49854,-5.8424,15,1,38.28
290,50232,365.6731,378,4,82.71
291,50394,216.1817,162,2,69.04
292,50617,294.2526,223,2,55.08
293,50840,238.9355,223,3,80.27
294,50889,2.2429,49,1,18.95
295,51048,214.3018,159,2,70.9
296,51066,-21.1279,18,1,16.41
297,51236,159.7806,170,3,51.56
298,51377,213.6563,141,2,71.29
299,51540,149.7668,163,3,54.69
300,51569,-4.1582,29,1,42.68
301,52071,217.4745,502,4,82.23
302,52131,72.0418,60,1,44.34
303,52287,151.3359,156,3,50.88
304,52480,154.1712,193,3,50.98
305,52506,23.2476,26,1,41.5
306,52561,10.6857,55,1,18.65
307,52626,65.6603,65,1,47.17
308,52668,39.4375,42,1,42.77
309,52705,-8.9533,37,1,18.16
310,52741,30.7034,36,1,43.16
311,52789,44.4495,48,1,40.72
312,52952,290.9128,163,2,57.23
313,53011,26.1038,59,1,42.97
314,53064,-31.7793,53,1,26.46
315,53548,210.0301,484,3,80.66
316,53579,-14.3519,31,1,18.26
317,53763,193.2441,184,2,64.84
318,53912,218.5925,149,2,48.93
319,54302,144.0867,390,2,62.3
320,54342,22.4189,40,1,41.02
321,54701,264.311,359,2,75.68
322,54725,11.1315,24,1,40.53
323,55051,249.7592,326,3,80.08
324,55107,-41.897,56,1,25.29
325,55156,53.2166,49,1,45.41
326,55266,176.481,110,2,52.15
327,55334,-11.2722,68,1,27.05
328,55393,1.5466,59,1,37.5
329,55731,127.7665,338,2,60.94
330,55783,65.4897,52,1,50.29
331,55897,170.2171,114,2,56.54
332,56035,117.5784,138,1,51.17
333,56099,-18.6407,64,1,26.66
334,56178,79.1099,79,2,47.95
335,56238,103.7214,60,2,56.93
336,56644,361.0596,406,2,57.91
337,56673,4.5994,29,1,39.36
338,56719,36.6064,46,2,46.39
339,56777,34.5442,58,1,40.53
340,56801,1.6534,24,1,20.21
341,56836,9.6546,35,1,37.89
342,56979,159.2736,143,2,57.62
343,57315,376.4608,336,2,59.18
344,57578,289.2709,263,3,81.15
345,57654,146.5418,76,1,54.39
346,57703,39.9913,49,1,25.0
347,57846,242.3627,143,2,69.04
348,57911,3.6134,65,1,38.28
349,58197,351.6414,286,2,58.79
350,58511,357.8206,314,2,63.57
351,58612,109.0625,101,1,53.32
352,59212,359.4403,600,4,91.21
353,59249,53.7236,37,1,48.24
354,59265,-7.0278,16,1,19.34
355,59301,0.2602,36,1,19.04
