time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef,train/ent_coef_loss
104,44264,447,191.6019399,98,419.72,0.001,7.241898417472839,-39.02335584163666,4256,0.07508991658687592,-0.6210012501105666
108,46488,446,201.88207043999998,104,423.07,0.001,7.239763706922531,-38.28813862800598,4544,0.07243526796810329,-0.2680222002090886
112,47888,444,208.85737500000002,107,429.64,0.001,7.312029883265495,-38.72021782398224,4736,0.07098477170802653,-0.05802401155233383
116,48312,445,212.06162236,108,423.81,0.001,7.817101761698723,-38.53944110870361,4768,0.07102500065229833,0.22675307001918554
120,49608,444,220.14544069999997,111,426.09,0.001,6.91325918585062,-38.765352725982666,4928,0.0716761436779052,-0.23733753059059381
124,52456,443,224.03466827,118,432.09,0.001,8.702476650476456,-38.37520182132721,5280,0.06907167518511415,-0.3822670499794185
128,54336,440,234.69102895,123,437.42,0.001,7.742557764053345,-37.94256603717804,5536,0.06796240946277976,-0.14994096709415317
132,57232,440,241.68772336,130,449.94,0.001,7.431427508592606,-37.74132800102234,5888,0.06438693543896079,-0.4258628156967461
136,58528,439,245.07273517000002,133,459.02,0.001,8.6356111317873,-36.939034938812256,6048,0.06304572219960392,-0.282249754993245
140,60520,438,250.55325205999998,138,471.85,0.001,8.877137944102287,-37.0195689201355,6304,0.059863838949240744,-0.19297550595365465
144,62816,431,244.65242606999993,145,469.37,0.001,9.091247707605362,-36.0554221868515,6592,0.05788234167266637,0.18679253640584648
148,64008,429,244.38557558000005,148,471.32,0.001,8.954523205757141,-35.47034406661987,6752,0.057146800914779305,0.22018806636333466
152,66832,424,249.80749684999998,157,469.32,0.001,7.88548381626606,-34.51398640871048,7104,0.055671496549621224,0.06265539862215519
156,68736,424,246.84662215999998,161,469.17,0.001,8.58668926358223,-34.940518736839294,7328,0.05591916001867503,0.4525600476190448
160,71008,418,245.54971475,169,467.0,0.001,9.017154842615128,-33.83711212873459,7616,0.055049234768375754,-0.10669903294183314
164,72504,418,248.17696739999997,173,474.77,0.001,10.374474912881851,-34.66940689086914,7808,0.05343539617024362,-0.06712129293009639
168,74448,418,248.40299634,177,471.49,0.001,8.12950111925602,-34.12082701921463,8032,0.05053915025200695,-0.17216651933267713
172,77304,418,249.8175445,184,471.96,0.001,8.468298219144344,-32.65291750431061,8384,0.04666460445150733,-0.24393361248075962
176,78784,417,253.52019528,188,470.03,0.001,8.581405773758888,-32.8473225235939,8576,0.04674912441987544,0.041105836164206266
180,80352,417,253.89738976,192,465.93,0.001,8.47148060798645,-32.74773424863815,8768,0.048939804546535015,-0.6790970978327096
184,81640,417,251.12088888999997,195,459.51,0.001,7.551685482263565,-32.110945999622345,8928,0.0484383178409189,0.059630634263157845
188,82800,416,251.35547725000004,198,452.8,0.001,9.690938621759415,-32.83426636457443,9088,0.0493618946056813,0.27026420552283525
192,85152,413,247.40094143999994,205,449.66,0.001,10.580250144004822,-31.87379765510559,9376,0.04798741696868092,-0.9109168476425111
196,87432,410,247.83638468000004,212,453.43,0.001,11.489474356174469,-31.36965262889862,9664,0.045017940225079656,0.04425938450731337
200,88000,410,243.73414837,214,459.32,0.001,8.264658138155937,-30.714866876602173,9728,0.04572243196889758,-0.15353345521725714
204,91376,407,237.38357914,224,462.44,0.001,7.849537007510662,-30.57384729385376,10144,0.04629303584806621,-0.06968372827395797
208,92424,405,242.66362776999995,227,467.32,0.001,8.890699297189713,-30.67207169532776,10304,0.045730772661045194,-0.38982224254868925
