rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/ent_coef_loss
169.61543503999997,45088,108,99,451,415.15,4384,-29.67519348859787,0.001,0.07230354310013354,6.3006008341908455,-0.3290282448288053
176.43689509,46624,112,105,442,418.18,4576,-29.53801918029785,0.001,0.07234336319379508,7.387548431754112,0.006100559839978814
182.37392481999998,47328,116,107,442,419.85,4640,-30.014979004859924,0.001,0.07203662022948265,8.386946678161621,-0.25266745779663324
186.29221365999993,48304,120,110,438,416.76,4768,-29.814525485038757,0.001,0.07189346640370786,7.640059441328049,-0.25949666602537036
188.07606912999995,49560,124,113,436,408.32,4928,-29.412465751171112,0.001,0.07126259943470359,6.637698248028755,-0.2244925661943853
197.84058719,51424,128,118,434,410.18,5152,-29.178832948207855,0.001,0.06918225856497884,7.0057781636714935,-0.20044796541333199
204.95937132,52136,132,120,432,413.42,5248,-29.0757355093956,0.001,0.06843053037300706,9.414985418319702,-0.573872281704098
209.36202964,52680,136,122,431,411.49,5312,-28.91755199432373,0.001,0.06739219930022955,7.9306569546461105,-0.25416396488435566
208.55767763,52944,140,123,430,405.53,5344,-28.768972992897034,0.001,0.06707199034281075,7.845792129635811,-0.6592116244137287
198.25154129999996,53840,144,125,428,385.19,5472,-28.931120455265045,0.001,0.06575007596984506,8.108520120382309,-0.008314249105751514
204.30595673000005,56536,148,132,425,386.65,5792,-28.353346467018127,0.001,0.061656299745664,8.532128602266312,-0.6450122762471437
201.80326344000002,57632,152,136,420,387.62,5952,-28.14396780729294,0.001,0.05913255037739873,9.504766941070557,-0.5344150625169277
204.3453829,59048,156,140,419,391.3,6112,-27.789787888526917,0.001,0.05965404014568776,8.50125540792942,-0.12855542404577136
200.1664843,60016,160,143,417,386.16,6240,-28.258052051067352,0.001,0.05931044591125101,8.160547383129597,-0.05002751597203314
203.28250987000004,61336,164,147,416,378.06,6400,-28.378755748271942,0.001,0.05997206806205213,8.224503993988037,0.21885664528235793
201.29821827000004,63104,168,151,415,376.36,6624,-28.606853544712067,0.001,0.06350977160036564,7.771049544215202,0.020301769021898508
197.85033925,64176,172,154,415,373.68,6752,-28.735682427883148,0.001,0.06436149287037551,9.80605834722519,0.21694803051650524
202.09126537000003,65968,176,158,415,362.2,6976,-29.06378883123398,0.001,0.06225105992052704,9.255974888801575,-0.145946079865098
201.91748184,68056,180,163,415,364.07,7232,-29.0308136343956,0.001,0.06150167575106025,9.432279363274574,-0.2081694733351469
202.14757017999997,69584,184,167,414,366.97,7424,-28.988836586475372,0.001,0.0596349366242066,9.615315347909927,-0.0953982356004417
203.37165316,71216,188,172,413,363.99,7648,-28.478095173835754,0.001,0.05828710272908211,9.802830874919891,-0.3752171378582716
206.5856941,72944,192,176,412,360.11,7840,-27.93250161409378,0.001,0.05498904234264046,8.807268306612968,-0.8459086292423308
210.97689094999996,74664,196,181,411,356.24,8064,-27.72899353504181,0.001,0.05317809956613928,9.468071058392525,-0.3868255754932761
215.58180205,75552,200,184,408,345.83,8192,-27.701607525348663,0.001,0.05081057676579803,9.404258236289024,0.1633589076809585
226.31864119999997,77592,204,189,408,339.45,8448,-27.682634115219116,0.001,0.05062688351608813,10.543258130550385,-0.1010250304825604
234.38137615,79488,208,194,407,341.31,8672,-27.79977297782898,0.001,0.05353337794076651,11.00480042397976,0.4297539700055495
231.40384982,82392,212,203,405,348.51,9024,-27.90494155883789,0.001,0.05597847362514585,10.477300629019737,0.1475171942729503
231.09022408,84288,216,210,400,357.95,9280,-27.8858722448349,0.001,0.05480096349492669,11.353296406567097,-0.1449626819230616
231.02651133999998,85328,220,215,396,365.96,9408,-27.632319390773773,0.001,0.05412627710029483,11.327375933527946,-0.34348774794489145
235.83087818999996,87192,224,219,396,371.48,9632,-27.406810402870178,0.001,0.05102143355179578,11.099494725465775,-0.10178675130009651
235.09444642,89088,228,224,397,376.36,9856,-26.65014511346817,0.001,0.04888646793551743,10.689520344138145,-0.5662967837415636
232.61874727999995,91296,232,229,397,384.66,10144,-26.464350521564484,0.001,0.04700300400145352,9.844985976815224,0.3036224073730409
235.20058984,92816,236,233,397,394.95,10336,-26.596921682357788,0.001,0.04674927075393498,10.996237799525261,-0.5585428224876523
240.18880685000005,95024,240,239,397,403.89,10624,-26.033864438533783,0.001,0.047690561739727855,11.173870891332626,-0.5209672260098159
250.07342911,96312,244,242,397,415.39,10784,-26.2283718585968,0.001,0.04739024618174881,9.367813721299171,-0.0821210767608136
246.26769947,97568,248,246,396,417.12,10944,-26.220335125923157,0.001,0.04721199965570122,10.89240176975727,0.12955640046857297
247.54499655999996,100896,252,255,395,427.43,11360,-25.294516026973724,0.001,0.04472106276080012,10.612714648246765,-0.10280611948110163
246.79255942999995,101592,256,256,395,430.76,11424,-25.856919050216675,0.001,0.04502606298774481,11.61404125392437,-0.1755914988461882
254.93506256999999,103976,260,263,394,432.75,11744,-25.176834881305695,0.001,0.04440207907464355,12.18056207895279,-0.3342559174634516
254.22128616999998,105696,264,267,394,440.38,11936,-24.660404980182648,0.001,0.04453617555554956,12.5476413667202,-0.012813595589250326
261.64490553,106984,268,271,394,438.94,12096,-25.466566741466522,0.001,0.044363042106851935,11.154331281781197,-0.4743219909723848
266.61028108,108648,272,276,392,439.62,12320,-25.03782194852829,0.001,0.04419147130101919,12.089689582586288,-0.25336053036153316
268.10176258,111192,276,283,391,448.81,12640,-24.410984873771667,0.001,0.040402363636530936,10.223838225007057,-0.11775922449305654
271.90263057000004,112376,280,286,392,454.21,12768,-24.44534957408905,0.001,0.04007980250753462,11.094604432582855,0.09940256457775831
279.32937435,113736,284,289,392,447.0,12960,-24.939422011375427,0.001,0.041097670793533325,12.276192039251328,0.21250529307872057
279.48809615,115992,288,295,391,444.94,13248,-23.666991472244263,0.001,0.04200326569844037,12.113945826888084,-0.5021148002706468
277.27418204,118248,292,301,392,457.3,13504,-24.034511387348175,0.001,0.042253844207152724,13.048838064074516,-0.4971797219477594
280.80396673,120224,296,306,392,455.65,13760,-23.797657370567322,0.001,0.040438375901430845,13.264746859669685,-0.32252385979518294
275.39281691,123048,300,314,390,466.06,14112,-23.405012130737305,0.001,0.041038983734324574,12.604075893759727,0.32111697690561414
265.61916258,124128,304,318,390,470.35,14240,-22.733413755893707,0.001,0.0427631774218753,12.198023319244385,-0.07337363669648767
264.26748987999997,126528,308,326,387,470.59,14560,-23.12199777364731,0.001,0.040311660850420594,13.719524830579758,0.10673523973673582
264.04566875999996,128792,312,333,385,471.18,14848,-22.508736789226532,0.001,0.039299083640798926,12.626361101865768,-0.1529091822449118
266.53022106000003,131328,316,339,386,471.18,15136,-22.476113379001617,0.001,0.04017543827649206,11.86506636440754,-0.0887870981823653
274.78299848000006,133112,320,344,385,473.24,15360,-22.047598659992218,0.001,0.040994464536197484,10.746395751833916,0.20781036443077028
274.81162739999996,135192,324,351,385,482.63,15648,-22.34995186328888,0.001,0.03972018067725003,11.8660659044981,-0.04407703364267945
279.47027367000004,137528,328,356,385,479.47,15936,-21.869366347789764,0.001,0.03913318901322782,12.958663940429688,0.17396072717383504
284.12269581,138856,332,360,385,478.33,16096,-22.332347214221954,0.001,0.04085597873199731,13.70627398788929,0.2892276303609833
287.29488167,142160,336,368,386,478.21,16512,-21.872123062610626,0.001,0.04058062133844942,13.084650605916977,-0.36390978656709194
284.15166370000003,143328,340,370,386,486.76,16640,-22.078080713748932,0.001,0.039470097166486084,12.882888525724411,-0.05741162318736315
276.07813906999996,146960,344,380,386,495.6,17120,-21.668045461177826,0.001,0.040854444610886276,10.760869532823563,-0.2193478769622743
275.06527288999996,148128,348,382,386,505.47,17248,-21.35842752456665,0.001,0.04007953638210893,11.530246689915657,0.1312616711948067
284.13409457,148560,352,384,386,495.39,17312,-21.60704916715622,0.001,0.04077767347916961,10.336428016424179,-0.29191143927164376
287.96415258999997,152464,356,394,386,492.07,17792,-21.419019401073456,0.001,0.04029843141324818,11.289907112717628,0.3160502768587321
279.89148924999995,153256,360,396,386,500.94,17888,-20.855175852775574,0.001,0.04154226917307824,11.885652348399162,0.3355289581231773
283.74377341,154664,364,400,386,498.33,18080,-21.2031466960907,0.001,0.03956534154713154,9.904578074812889,0.5455305012874305
284.92650233999996,157184,368,406,386,494.92,18368,-21.297369480133057,0.001,0.0386644882382825,11.777680575847626,-0.1622366034425795
279.6605916500001,159384,372,412,386,502.61,18656,-20.604385673999786,0.001,0.0362921436317265,10.61273618042469,-0.4232799435267225
278.63682622000005,160784,376,415,386,502.46,18848,-20.968634128570557,0.001,0.03849289380013943,9.921574205160141,0.3975916667841375
280.53720167,164080,380,423,387,504.01,19232,-20.494827151298523,0.001,0.03779570932965726,12.299101546406746,0.10861847782507539
272.25971156,165352,384,426,387,512.6,19392,-20.76084864139557,0.001,0.036599470186047256,10.015313357114792,-0.5715217812685296
277.57261488999995,166864,388,430,387,510.54,19584,-20.62402606010437,0.001,0.03744408639613539,11.939175963401794,-0.11674096225760877
282.37504927,168984,392,436,387,506.27,19872,-20.35772681236267,0.001,0.03735729667823762,11.208215147256851,-0.04568076820578426
278.45964807,171664,396,442,387,509.67,20192,-20.61771309375763,0.001,0.037020247778855264,11.34878095984459,-0.7560877054929733
281.34045683,173784,400,447,388,509.67,20448,-20.62497866153717,0.001,0.036922403261996806,11.910224065184593,0.1135668067727238
280.26813102,176384,404,455,387,516.28,20768,-20.378567218780518,0.001,0.03350464592222124,11.251156955957413,-0.05066635541152209
277.40801428,178584,408,461,386,520.5,21056,-20.375463545322418,0.001,0.03397172223776579,11.737217769026756,-0.08245281619019806
283.57514586,180752,412,468,386,516.13,21344,-19.980841636657715,0.001,0.03234366269316524,12.345887303352356,-0.45653417240828276
285.72061036,183280,416,474,385,516.13,21632,-20.004157721996307,0.001,0.03127450088504702,10.07406958937645,-0.09397437050938606
278.82200868,183880,420,477,385,514.35,21728,-20.11735111474991,0.001,0.030871823895722628,12.401939481496811,0.14069346338510513
279.8022977,186528,424,483,385,514.35,22048,-19.622489273548126,0.001,0.03186562133487314,11.594060570001602,0.28979099937714636
280.61118939,188528,428,489,385,513.2,22304,-19.719909191131592,0.001,0.03171171306166798,10.670620307326317,-0.22642467683181167
280.45551320000004,190784,432,495,385,513.1,22592,-19.66431152820587,0.001,0.030440353730227798,11.436943456530571,-0.19364546099677682
275.76861381,193328,436,502,384,517.56,22912,-19.405430138111115,0.001,0.031204179511405528,10.578170880675316,-0.24759463081136346
284.43760507,194584,440,507,383,508.74,23072,-19.397584557533264,0.001,0.030560555460397154,11.211754232645035,-0.5023120176047087
285.36190581000005,196504,444,511,383,508.74,23296,-19.492361664772034,0.001,0.03085363726131618,10.708830803632736,0.29738756408914924
293.00188796,198280,448,517,382,499.65,23520,-19.618877828121185,0.001,0.03303004615008831,10.453022345900536,-0.12134857778437436
289.73796526999996,199424,452,521,382,500.74,23648,-19.474920630455017,0.001,0.033000317169353366,10.930336743593216,-0.37947137956507504
