rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/learning_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
277.1837248,413,378,541.18,156400,324,0.0001,0.16828817361965775,-21.22549057006836,-5.4703401029109955,6.712173163890839,18272
275.7790228,412,387,541.62,159792,328,0.0001,0.16124229039996862,-20.559195041656494,-5.502106577157974,6.693900592625141,18720
279.51656106,412,390,541.62,161200,332,0.0001,0.15884089935570955,-20.39311546087265,-5.430832177400589,7.019763424992561,18880
277.49602591999997,411,400,548.28,164592,336,0.0001,0.15279105864465237,-20.059046030044556,-5.222874239087105,7.225908562541008,19296
277.21992929,409,403,546.75,165528,340,0.0001,0.15098578855395317,-20.292690813541412,-5.363669380545616,7.206242620944977,19424
278.52024815999994,409,412,546.26,168784,344,0.0001,0.14524732204154134,-20.00544035434723,-5.280798181891441,6.423420742154121,19840
284.03236504,408,416,552.01,170328,348,0.0001,0.14266130747273564,-19.779623866081238,-5.261312291026115,7.163474455475807,20032
283.7727329,407,426,552.01,173584,352,0.0001,0.1372338104993105,-19.879852533340454,-5.178175836801529,6.810358762741089,20448
292.54616292,405,431,562.75,175128,356,0.0001,0.13487328123301268,-20.132931351661682,-5.013518825173378,6.328594461083412,20640
291.86345660000006,405,437,559.11,177152,360,0.0001,0.13212844636291265,-20.034375250339508,-4.991763606667519,6.998630344867706,20864
294.63986773,402,445,559.11,179336,364,0.0001,0.12870697304606438,-20.077463507652283,-5.107291623950005,7.3040871024131775,21152
290.97012965,402,450,550.9,181320,368,0.0001,0.1257552937604487,-19.8993958234787,-4.724038243293762,7.1062429547309875,21408
290.58708574999997,401,454,544.26,182632,372,0.0001,0.12397542875260115,-20.160159707069397,-4.734817177057266,6.966170147061348,21568
294.57634122,400,461,545.12,184920,376,0.0001,0.12077202391810715,-20.183770656585693,-4.76397642493248,6.9847864508628845,21856
297.84698925000004,399,465,535.18,186120,380,0.0001,0.11906262417323887,-20.10355520248413,-4.60514273494482,6.534719377756119,22016
301.96186785000003,399,468,537.75,187432,384,0.0001,0.11740280827507377,-20.553473949432373,-4.8258958756923676,8.050818637013435,22176
299.87463505,399,470,520.78,188272,388,0.0001,0.11639458499848843,-20.36185371875763,-4.68025130033493,6.446941539645195,22272
298.12483225,399,474,510.53,189600,392,0.0001,0.11470517958514392,-20.442550718784332,-4.633069455623627,6.682472497224808,22432
298.42389794999997,397,481,503.29,191528,396,0.0001,0.11208889819681644,-20.422398567199707,-4.418645054101944,6.785056218504906,22688
295.26895054,397,485,496.68,192904,400,0.0001,0.11051847296766937,-20.41881227493286,-4.287453375756741,6.288655333220959,22848
299.66978156,396,490,488.09,194744,404,0.0001,0.10833282885141671,-20.13933390378952,-4.815648302435875,6.94333390891552,23072
303.23425549,395,498,484.38,196920,408,0.0001,0.10544640710577369,-20.54072380065918,-4.472186043858528,6.828365422785282,23360
305.15083804,394,500,482.12,197736,412,0.0001,0.1045469322707504,-21.194500207901,-4.359378911554813,7.418743208050728,23456
