rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/ent_coef
227.09851976,116,48768,419,420.6,116,-70.57242345809937,12.546095758676529,0.25825532991439104,4832,0.001,0.08031467045657337
234.70317532,120,49240,418,426.74,117,-72.10910558700562,15.219169706106186,0.03626562189310789,4896,0.001,0.08037728210911155
239.14080574,124,50200,415,422.33,120,-72.75242447853088,12.92503835260868,-0.056628582533448935,5024,0.001,0.07922904938459396
241.37716654,128,50384,416,408.05,120,,,,,,
247.37258722,132,53928,415,412.21,129,-73.80246424674988,16.094542264938354,0.3003336261026561,5472,0.001,0.07839206722564995
250.28847023999998,136,55144,414,419.81,133,-74.1943051815033,15.905070394277573,-0.05197156127542257,5632,0.001,0.07817942067049444
249.35007392,140,55256,414,425.48,133,,,,,,
241.17518393000003,144,58656,413,413.7,141,-74.58655619621277,15.397303998470306,0.3225750077981502,6080,0.001,0.0769539310131222
232.77232507999997,148,59984,413,418.56,145,-74.5175793170929,13.910296842455864,-0.3159840328153223,6240,0.001,0.07484600297175348
227.53455649,152,61632,412,420.72,149,-74.64446425437927,12.716566011309624,-0.10913819330744445,6432,0.001,0.07266254955902696
225.81292516000002,156,63984,409,421.41,156,-73.73944187164307,15.177938610315323,-0.09333931421861053,6720,0.001,0.07067035092040896
225.52249415000003,160,65328,407,424.43,160,-73.49598169326782,12.779497653245926,0.17283614398911595,6912,0.001,0.07075114408507943
227.88543685000002,164,66616,405,426.28,164,-72.6060242652893,13.273305669426918,0.12873349199071527,7072,0.001,0.0717848944477737
223.69073784,168,67648,402,423.38,167,-72.56943559646606,13.928601950407028,-0.1342390081845224,7200,0.001,0.06914849206805229
215.89908047,172,70128,400,418.86,174,-71.68001437187195,16.419819742441177,-0.41363666695542634,7488,0.001,0.06887140707112849
212.58351592,176,71768,399,433.94,179,-70.90506029129028,12.260079637169838,-0.13555959577206522,7712,0.001,0.06703123543411493
217.08405081000004,180,73424,399,438.17,183,-70.75713157653809,14.310890883207321,-0.39106016349978745,7904,0.001,0.06509361113421619
222.67311000000007,184,74864,398,432.85,187,-70.90496444702148,12.564928516745567,-0.1717063628602773,8096,0.001,0.06281836214475334
223.83539203999996,188,76184,398,424.42,191,-70.25330448150635,13.194446936249733,-0.1186118358746171,8256,0.001,0.06313955807127059
219.62617256000001,192,77072,397,410.56,193,-69.70448875427246,13.519135311245918,-0.3122407360933721,8384,0.001,0.06217598030343652
226.76055997000003,196,79664,397,414.66,200,-67.96352231502533,14.944349855184555,-0.04287939006462693,8704,0.001,0.06076716189272702
232.52761739000005,200,80816,397,404.1,203,-68.07894611358643,12.850967019796371,-0.6946898275054991,8832,0.001,0.060293479706160724
232.64004114999997,204,81872,397,403.22,205,-68.4939706325531,12.59511685371399,0.02195299183949828,8960,0.001,0.05996088054962456
236.44544712999996,208,84120,397,395.28,211,-66.955695271492,13.44210970401764,0.6698098718188703,9248,0.001,0.05778821650892496
239.09945773000004,212,85288,396,396.96,214,-66.43692982196808,14.548007562756538,0.007321539567783475,9408,0.001,0.05818388157058507
